DATE,____-5,____-4,____-3,____-2,____-1,_____0,POSITI,____+1,____DIF
2020-09-11,0.0007,-0.0066,-0.0128,-0.0002,-0.0185,-0.003,BUY,1.0826,0.0028
2020-09-10,-0.0062,0.0007,-0.0066,-0.0128,-0.0002,-0.0185,SELL,1.0798,-0.003
2020-09-09,0.0029,-0.0062,0.0007,-0.0066,-0.0128,-0.0002,SELL,1.0828,-0.0185
2020-09-08,0.004,0.0029,-0.0062,0.0007,-0.0066,-0.0128,NOTRAD,1.1013,-0.0002
2020-09-07,-0.0016,0.004,0.0029,-0.0062,0.0007,-0.0066,SELL,1.1015,-0.0128
2020-09-04,0.0046,-0.0016,0.004,0.0029,-0.0062,0.0007,SELL,1.1143,-0.0066
2020-09-03,-0.0001,0.0046,-0.0016,0.004,0.0029,-0.0062,NOTRAD,1.1209,0.0007
2020-09-02,0.0058,-0.0001,0.0046,-0.0016,0.004,0.0029,SELL,1.1202,-0.0062
2020-09-01,0.0027,0.0058,-0.0001,0.0046,-0.0016,0.004,BUY,1.1264,0.0029
2020-08-31,-0.0011,0.0027,0.0058,-0.0001,0.0046,-0.0016,BUY,1.1235,0.004
2020-08-28,-0.0049,-0.0011,0.0027,0.0058,-0.0001,0.0046,SELL,1.1195,-0.0016
2020-08-27,0.0075,-0.0049,-0.0011,0.0027,0.0058,-0.0001,BUY,1.1211,0.0046
2020-08-26,-0.0027,0.0075,-0.0049,-0.0011,0.0027,0.0058,NOTRAD,1.1165,-0.0001
2020-08-25,0.0059,-0.0027,0.0075,-0.0049,-0.0011,0.0027,BUY,1.1166,0.0058
2020-08-24,-0.0012,0.0059,-0.0027,0.0075,-0.0049,-0.0011,BUY,1.1108,0.0027
2020-08-21,-0.0013,-0.0012,0.0059,-0.0027,0.0075,-0.0049,SELL,1.1081,-0.0011
2020-08-20,0.0001,-0.0013,-0.0012,0.0059,-0.0027,0.0075,SELL,1.1092,-0.0049
2020-08-19,-0.006,0.0001,-0.0013,-0.0012,0.0059,-0.0027,BUY,1.1141,0.0075
2020-08-18,-0.0016,-0.006,0.0001,-0.0013,-0.0012,0.0059,SELL,1.1066,-0.0027
2020-08-17,0.0066,-0.0016,-0.006,0.0001,-0.0013,-0.0012,BUY,1.1093,0.0059
2020-08-14,0.0007,0.0066,-0.0016,-0.006,0.0001,-0.0013,SELL,1.1034,-0.0012
2020-08-13,0.0006,0.0007,0.0066,-0.0016,-0.006,0.0001,SELL,1.1046,-0.0013
2020-08-12,-0.0024,0.0006,0.0007,0.0066,-0.0016,-0.006,NOTRAD,1.1059,0.0001
2020-08-11,-0.0039,-0.0024,0.0006,0.0007,0.0066,-0.0016,SELL,1.1058,-0.006
2020-08-10,0.0009,-0.0039,-0.0024,0.0006,0.0007,0.0066,SELL,1.1118,-0.0016
2020-08-07,0.0055,0.0009,-0.0039,-0.0024,0.0006,0.0007,BUY,1.1134,0.0066
2020-08-06,0.0035,0.0055,0.0009,-0.0039,-0.0024,0.0006,NOTRAD,1.1068,0.0007
2020-08-05,-0.0011,0.0035,0.0055,0.0009,-0.0039,-0.0024,NOTRAD,1.1061,0.0006
2020-08-04,0.0072,-0.0011,0.0035,0.0055,0.0009,-0.0039,SELL,1.1055,-0.0024
2020-08-03,-0.0011,0.0072,-0.0011,0.0035,0.0055,0.0009,SELL,1.1079,-0.0039
2020-07-31,-0.0012,-0.0011,0.0072,-0.0011,0.0035,0.0055,NOTRAD,1.1118,0.0009
2020-07-30,-0.0025,-0.0012,-0.0011,0.0072,-0.0011,0.0035,BUY,1.1109,0.0055
2020-07-29,-0.0031,-0.0025,-0.0012,-0.0011,0.0072,-0.0011,BUY,1.1054,0.0035
2020-07-28,-0.0021,-0.0031,-0.0025,-0.0012,-0.0011,0.0072,SELL,1.1019,-0.0011
2020-07-27,0.0064,-0.0021,-0.0031,-0.0025,-0.0012,-0.0011,BUY,1.1030,0.0072
2020-07-24,-0.0033,0.0064,-0.0021,-0.0031,-0.0025,-0.0012,SELL,1.0958,-0.0011
2020-07-23,-0.0004,-0.0033,0.0064,-0.0021,-0.0031,-0.0025,SELL,1.0969,-0.0012
2020-07-22,0.0014,-0.0004,-0.0033,0.0064,-0.0021,-0.0031,SELL,1.0981,-0.0025
